Root_ID	Question_No	Persona	Environment	Question	Answer	Ans_Points	Doc_Ans_Points	Rel_Docs_List	Adv_Question	Adv_Answer	Adv_Ans_Pts	Adv_Doc_Ans_Pts	Adv_Docs_List	Documents
1	1	persona	environment	Baseline question 1?	- baseline point 1	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"{""not"": ""a list""}"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
2	1	persona	environment	Baseline question 2?	- baseline point 2	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 2 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 2 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 2 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
3	1	persona	environment	Baseline question 3?	- baseline point 3	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 3 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 3 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 3 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
4	1	persona	environment	Baseline question 4?	- baseline point 4	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 4 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 4 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 4 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
5	1	persona	environment	Baseline question 5?	- baseline point 5	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 5 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 5 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 5 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
6	1	persona	environment	Baseline question 6?	- baseline point 6	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 6 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 6 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 6 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
7	1	persona	environment	Baseline question 7?	- baseline point 7	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 7 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 7 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 7 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
8	1	persona	environment	Baseline question 8?	- baseline point 8	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 8 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 8 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 8 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
9	1	persona	environment	Baseline question 9?	- baseline point 9	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 9 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 9 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 9 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
10	1	persona	environment	Baseline question 10?	- baseline point 10	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 10 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 10 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 10 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
11	1	persona	environment	Baseline question 11?	- baseline point 11	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 11 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 11 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 11 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
12	1	persona	environment	Baseline question 12?	- baseline point 12	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 12 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 12 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 12 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
13	1	persona	environment	Baseline question 13?	- baseline point 13	"[""baseline point""]"	"{""1"": [""baseline point""], ""2"": [""baseline point""], ""3"": [""baseline point""]}"	"[""Title: baseline 13 document 1\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 13 document 2\nText:\nAdviser: line one.\nClient: line two."", ""Title: baseline 13 document 3\nText:\nAdviser: line one.\nClient: line two.""]"	adv question	adv answer	[]	{}	[]	"Document 1:
Title: x
Text:
y"
